regimen_synonym_id,regimen_synonym,source_id,regimen_id
439,capecitabine and docetaxel,1,338
440,capecitabine and irinotecan,1,342
441,capecitabine and oxaliplatin,1,365
442,capecitabine and paclitaxel,1,338
443,capecitabine and radiation therapy,1,350
444,"capecitabine, carboplatin, paclitaxel, radiation therapy",1,357
445,"capecitabine, docetaxel, oxaliplatin, radiation therapy",1,359
446,"capecitabine, docetaxel, radiation therapy",1,360
447,"capecitabine, irinotecan, bevacizumab",1,374
448,"capecitabine, irinotecan, radiation therapy",1,375
449,"capecitabine, oxaliplatin",1,365
450,"capecitabine, oxaliplatin, bevacizumab",1,366
451,"capecitabine, oxaliplatin, cetuximab, radiation therapy",1,372
452,"capecitabine, oxaliplatin, erlotinib",1,367
453,"capecitabine, oxaliplatin, nivolumab",1,368
454,"capecitabine, oxaliplatin, panitumumab",1,369
455,"capecitabine, oxaliplatin, pembrolizumab",1,370
456,"capecitabine, oxaliplatin, pembrolizumab, trastuzumab",1,373
457,"capecitabine, oxaliplatin, radiation therapy",1,362
458,"capecitabine, oxaliplatin, tislelizumab",1,347
459,"capecitabine, oxaliplatin, trastuzumab",1,371
460,"capecitabine, paclitaxel, radiation therapy",1,363
461,"capecitabine, pertuzumab, trastuzumab",1,2146
462,"capecitabine, sorafenib, radiation therapy",1,364
463,"capecitabine, tucatinib, trastuzumab",1,353
464,capeiri,1,342
465,capeox and rt,1,362
466,capeox and tislelizumab,1,347
467,capiri,1,342
468,capiri,7,342
469,capox,1,365
470,capox,7,365
471,capox-b,1,366
472,carbo-pem,1,338
473,carboplatin and doxil (pegylated liposomal doxorubicin),1,338
474,carboplatin and doxorubicin liposomal,1,338
475,carboplatin and etoposide,1,384
476,carboplatin and gemcitabine,1,391
477,carboplatin and paclitaxel,1,338
478,carboplatin and paclitaxel (cp),1,338
479,carboplatin and paclitaxel (cp) and tislelizumab,1,53
480,carboplatin and paclitaxel followed by dose-dense adriamycin (doxorubicin) and cyclophosphamide,1,724
481,"carboplatin and paclitaxel, followed by adriamycin (doxorubicin) and cyclophosphamide",1,722
482,"carboplatin and paclitaxel, followed by epirubicin and cyclophosphamide",1,725
483,carboplatin and pegylated liposomal doxorubicin,1,338
484,carboplatin and pemetrexed,1,338
485,carboplatin and radiation therapy,1,421
486,carboplatin and vincristine,1,384
487,carboplatin and vinorelbine,1,384
488,"carboplatin, doxorubicin liposomal, bevacizumab",1,437
489,"carboplatin, etoposide, atezolizumab",1,385
490,"carboplatin, etoposide, durvalumab",1,387
491,"carboplatin, etoposide, pembrolizumab",1,388
492,"carboplatin, etoposide, vincristine",1,487
493,"carboplatin, fluorouracil, cetuximab, radiation therapy",1,428
494,"carboplatin, fluorouracil, radiation therapy",1,430
495,"carboplatin, olaparib, paclitaxel",1,412
496,"carboplatin, paclitaxel, bevacizumab",1,403
497,"carboplatin, paclitaxel, camrelizumab",1,404
498,"carboplatin, paclitaxel, durvalumab",1,407
499,"carboplatin, paclitaxel, nintedanib",1,410
500,"carboplatin, paclitaxel, nivolumab",1,411
501,"carboplatin, paclitaxel, olaparib",1,412
502,"carboplatin, paclitaxel, pembrolizumab, followed by adriamycin (doxorubicin), cyclophosphamide, pembrolizumab",1,723
503,"carboplatin, paclitaxel, pembrolizumab, followed by epirubicin, cyclophosphamide, pembrolizumab",1,726
504,"carboplatin, paclitaxel, radiation therapy",1,415
505,"carboplatin, paclitaxel, rt",1,415
506,"carboplatin, paclitaxel, trastuzumab",1,417
507,"carboplatin, taxol (paclitaxel), bevacizumab",1,403
508,carf,1,454
509,carf-dex,1,451
510,carf-pomdex,1,781
511,carfcyd,1,1416
512,carfdex,1,451
513,carfilzomib,1,454
514,carfilzomib and dex,1,451
