synonym_id,anchor_drug_id,synonym_name
28516,1697,su-6518
28517,4852,su011248
28518,4852,su11248
28519,225,suaeda moquinii pollen
28520,225,suaeda nigra pollen
28521,4803,suammadex sodium
28522,5369,suberanilohydroxamic acid
28523,5369,suberoylanilide hydroxamic acid
28524,3241,sublimat
28525,3241,sublimate
28526,2137,sublimaze
28527,843,subutex
28528,1449,sucaryl sodium
28529,4791,succimero
28530,3035,succinic acid dilithium salt
28531,3035,"succinic acid, dilithium salt"
28532,3301,"succinimide, n,2-dimethyl-2-phenyl-"
28533,897,succinimidyl carbonate monomethoxypolyethylene glycol e. coli l-asparaginase
28534,4795,succinocholine
28535,4795,succinoylcholine
28536,302,succinum
28537,458,succinyl dihydroartemisinin
28538,4795,succinylbischoline
28539,4795,succinylcholine bromide
28540,4795,succinylcholine chloride
28541,4795,succinyldicholine
28542,4502,sucraid
28543,4797,sucralfat
28544,4797,sucralfato
28545,4797,sucralfatum
28546,4800,sucraloxum
28547,4802,sufenta
28548,4802,sufentanil citrate
28549,4802,sufentanilo
28550,4802,sufentanilum
28551,4802,sufentanyl
28552,3902,sufisal
28553,1646,sufuric acid diethyl ester
28554,4803,sugammadex sodium
28555,3881,sugracillin
28556,3580,sular
28557,4806,sulbactam pivoxil
28558,4806,sulbactam pivoxyl
28559,4806,sulbactam sodium
28560,4806,sulbactamum
28561,4808,sulbutiamina
28562,4809,sulconazole nitrate
28563,4809,sulcosyn
28564,3241,sulema
28565,1988,sulestrex
28566,1988,sulestrex#
28567,4810,sulfabenzamida
28568,4810,sulfabenzamidum
28569,4810,sulfabenzide
28570,4810,sulfabenzoylamide
28571,4811,sulfacetamid
28572,4811,sulfacetamida
28573,4811,sulfacetamidum
28574,4812,sulfachloropyridazine
28575,4812,sulfachlorpyridazinum
28576,4814,sulfacitina
28577,4814,sulfacitine
28578,4814,sulfacitinum
28579,4812,sulfacloropiridazina
28580,1694,sulfactin
28581,5012,sulfactol#
28582,4811,sulfacétamide
28583,4815,sulfadiazin
28584,4815,sulfadiazina
28585,4628,sulfadiazine silver
28586,4628,sulfadiazine silver salt
28587,4815,sulfadiazine sodium
28588,4815,sulfadiazinum
28589,4815,sulfadiazinum natricum
28590,4816,sulfadimethoxine sodium
28591,4816,sulfadimethoxinum
28592,4816,sulfadimethoxydiazine
28593,4822,sulfadimethyldiazine
28594,4837,sulfadimethylisoxazole
28595,4828,sulfadimethyloxazole
28596,4822,sulfadimethylpyrimidine
28597,4816,sulfadimetoxina
28598,4822,sulfadimidina
28599,4822,sulfadimidine
28600,4822,sulfadimidinum
28601,4817,sulfadoxina
28602,4817,sulfadoxinum
28603,4837,sulfafurazol
28604,4837,sulfafurazole
28605,4837,sulfafurazolum
28606,4819,sulfaguanidina
28607,4819,sulfaguanidinum
28608,4836,sulfaisodimidine
28609,4837,sulfaisoxazole
28610,4820,sulfaleno
28611,4820,sulfalenum
28612,4821,sulfamerazina
28613,4821,sulfamerazine sodium
28614,4821,sulfamerazinum
28615,4822,sulfametazina
28616,4822,sulfametazyny
28617,4822,sulfamethazine sodium
28618,4823,sulfamethizol
28619,4823,sulfamethizolum
28620,4825,sulfamethoprim ds
28621,4820,sulfamethopyrazine
28622,4825,sulfamethoxazole and trimethoprim
28623,4824,sulfamethoxazole oral suspension usp 26
28624,4824,sulfamethoxazolum
28625,4820,sulfamethoxypyrazine
28626,4820,sulfamethoxysuccinate
28627,4824,sulfamethoxzole tablets usp 26
28628,4821,sulfamethyldiazine
28629,4823,sulfamethylthiadiazole
28630,4823,sulfametizol
