anchor_drug_id,canonical_rxcui,canonical_drug_name,canonical_tty
4972,1370424,tetradecyl hydrogen sulfate (ester),IN
4973,37935,tetrahydrozoline,IN
4974,1363713,tetramethylthiuram monosulfide,IN
4975,2260905,tetraxetan,IN
4976,37985,tetrazepam,IN
4977,1311569,tetrofosmin,IN
4978,37999,tetroxoprim,IN
4979,1999382,tezacaftor,IN
4980,2587789,tezepelumab,IN
4981,10432,thalidomide,IN
4982,1311633,thallium,IN
4983,38021,theaflavin,IN
4984,38022,theanine,IN
4985,38025,thenyldiamine,IN
4986,10437,theobromine,IN
4987,31958,theodrenaline,IN
4988,236713,theofibrate,IN
4989,10438,theophylline,IN
4990,1306060,thermus thermophilus lysate,IN
4991,10450,thiabendazole,IN
4992,10454,thiamine,IN
4993,10463,thiamphenicol,IN
4994,10464,thiamylal,IN
4995,10471,thiethylperazine,IN
4996,10472,thimerosal,IN
4997,38077,thiobutabarbital,IN
4998,38085,thiocolchicoside,IN
4999,618060,thioctate,IN
5000,1597391,thioctic acid amide,IN
5001,1363062,thioglycerol,IN
5002,1370627,thioglycolate,IN
5003,10485,thioguanine,IN
5004,10493,thiopental,IN
5005,38133,thiopropazate,IN
5006,10498,thioproperazine,IN
5007,1314275,thioredoxin,IN
5008,10502,thioridazine,IN
5009,91099,thiosalicylate,IN
5010,322165,thiosalicylic acid,IN
5011,1365970,thiostrepton,IN
5012,1546411,thiosulfate,IN
5013,10473,thiotepa,IN
5014,10510,thiothixene,IN
5015,38150,thiphenamil,IN
5016,10517,thiram,IN
5017,237058,thonzonium,IN
5018,1360721,thonzylamine,IN
5019,1547558,threonate,IN
5020,10524,threonine,IN
5021,10528,thrombin,IN
5022,1307585,thuja occidentalis bark extract,IN
5023,38221,thymalfasin,IN
5024,90950,thyme oil,IN
5025,1368871,thymine,IN
5026,10553,thymol,IN
5027,89717,thymol iodide,IN
5028,40230,thymopentin,IN
5029,10565,thyroglobulin,IN
5030,10572,thyroid (usp),IN
5031,235479,"thyroid, porcine",IN
5032,10579,thyrotropin,IN
5033,4952,thyrotropin alfa,IN
5034,10580,thyrotropin-releasing hormone,IN
5035,38248,tiadenol,IN
5036,31914,tiagabine,IN
5037,1546410,tiamulin,IN
5038,1314589,tiamulin fumarate,IN
5039,38252,tianeptine,IN
5040,10588,tiapride,IN
5041,618442,tiaprofenate,IN
5042,237141,tibezonium iodide,IN
5043,38260,tibolone,IN
5044,1116632,ticagrelor,IN
5045,10591,ticarcillin,IN
5046,10594,ticlopidine,IN
5047,236188,tiemonium,IN
5048,384455,tigecycline,IN
5049,2478456,tigilanol tiglate,IN
5050,2698199,tigolaner,IN
5051,166718,tilbroquinol,IN
5052,1306059,tildipirosin,IN
5053,2053436,tildrakizumab,IN
5054,1535217,tiletamine,IN
5055,10597,tilidine,IN
5056,38278,tilmicosin,IN
5057,57230,tiludronate,IN
5058,11476,tiludronic acid,IN
5059,10600,timolol,IN
5060,851994,timothy grass pollen extract,IN
5061,10612,tinidazole,IN
5062,69646,tinzaparin,IN
5063,163426,tioclomarol,IN
5064,38298,tioconazole,IN
5065,6765,tiopronin,IN
5066,69120,tiotropium,IN
5067,2059173,tioxolone,IN
5068,1670304,tipiracil,IN
5069,1670310,tipiracil / trifluridine,MIN
5070,190548,tipranavir,IN
5071,13982,tiratricol,IN
5072,2471078,tirbanibulin,IN
5073,72467,tirilazad,IN
5074,73137,tirofiban,IN
5075,38315,tiropramide,IN
5076,2601723,tirzepatide,IN
5077,1986438,tisagenlecleucel,IN
5078,2677426,tislelizumab,IN
5079,38136,tisopurine,IN
5080,2571095,tisotumab,IN
5081,1305547,titanium,IN
5082,38323,titanium dioxide,IN
5083,2740012,tividenofusp alfa,IN
5084,2534233,tivozanib,IN
5085,2587300,tixagevimab,IN
5086,57257,tixocortol,IN
5087,57258,tizanidine,IN
5088,10627,tobramycin,IN
5089,42359,tocainide,IN
5090,60906,tocamphyl,IN
5091,1145945,toceranib,IN
5092,612865,tocilizumab,IN
5093,1236136,tocopherol,IN
5094,159151,tocophersolan,IN
5095,314875,"tocopheryl acid succinate,d-alpha",IN
5096,1357536,tofacitinib,IN
