legacy_regimen_id,legacy_anchor_drug_id,source_id,quarantine_reason
712,10266,1,drug_anchor_not_uniquely_validated
713,3438,7,drug_anchor_not_uniquely_validated
713,10266,7,drug_anchor_not_uniquely_validated
714,3438,1,drug_anchor_not_uniquely_validated
714,3729,1,drug_anchor_not_uniquely_validated
714,10266,1,drug_anchor_not_uniquely_validated
715,3438,1,drug_anchor_not_uniquely_validated
715,3438,7,drug_anchor_not_uniquely_validated
715,10266,1,drug_anchor_not_uniquely_validated
715,10266,7,drug_anchor_not_uniquely_validated
716,3438,7,drug_anchor_not_uniquely_validated
719,10266,1,drug_anchor_not_uniquely_validated
721,3438,1,drug_anchor_not_uniquely_validated
721,10266,1,drug_anchor_not_uniquely_validated
721,13255,1,drug_anchor_not_uniquely_validated
722,3438,1,drug_anchor_not_uniquely_validated
723,3438,1,drug_anchor_not_uniquely_validated
724,3438,1,drug_anchor_not_uniquely_validated
727,3438,7,drug_anchor_not_uniquely_validated
727,10266,7,drug_anchor_not_uniquely_validated
728,10266,1,drug_anchor_not_uniquely_validated
730,3477,1,drug_anchor_not_uniquely_validated
732,10266,7,drug_anchor_not_uniquely_validated
732,33933,7,drug_anchor_not_uniquely_validated
733,10266,7,drug_anchor_not_uniquely_validated
733,33933,7,drug_anchor_not_uniquely_validated
735,3477,1,drug_anchor_not_uniquely_validated
737,3438,7,drug_anchor_not_uniquely_validated
738,3438,1,drug_anchor_not_uniquely_validated
738,3438,7,drug_anchor_not_uniquely_validated
738,3477,1,drug_anchor_not_uniquely_validated
738,3477,7,drug_anchor_not_uniquely_validated
739,3438,1,drug_anchor_not_uniquely_validated
739,10266,1,drug_anchor_not_uniquely_validated
740,3477,7,drug_anchor_not_uniquely_validated
740,13255,7,drug_anchor_not_uniquely_validated
741,3477,1,drug_anchor_not_uniquely_validated
741,13255,1,drug_anchor_not_uniquely_validated
742,13255,1,drug_anchor_not_uniquely_validated
742,13255,7,drug_anchor_not_uniquely_validated
742,18233,7,drug_anchor_not_uniquely_validated
743,3438,7,drug_anchor_not_uniquely_validated
743,3477,7,drug_anchor_not_uniquely_validated
744,13255,7,drug_anchor_not_uniquely_validated
746,10266,1,drug_anchor_not_uniquely_validated
746,13255,1,drug_anchor_not_uniquely_validated
747,10266,1,drug_anchor_not_uniquely_validated
747,31786,1,drug_anchor_not_uniquely_validated
748,10266,1,drug_anchor_not_uniquely_validated
748,13255,1,drug_anchor_not_uniquely_validated
749,3477,7,drug_anchor_not_uniquely_validated
750,3477,7,drug_anchor_not_uniquely_validated
751,3477,1,drug_anchor_not_uniquely_validated
752,3438,1,drug_anchor_not_uniquely_validated
752,3438,7,drug_anchor_not_uniquely_validated
753,3438,1,drug_anchor_not_uniquely_validated
759,3438,1,drug_anchor_not_uniquely_validated
759,3729,7,drug_anchor_not_uniquely_validated
760,10266,1,drug_anchor_not_uniquely_validated
761,3890,1,drug_anchor_not_uniquely_validated
765,3729,1,drug_anchor_not_uniquely_validated
766,3729,1,drug_anchor_not_uniquely_validated
767,3729,1,drug_anchor_not_uniquely_validated
768,3477,1,drug_anchor_not_uniquely_validated
768,3729,1,drug_anchor_not_uniquely_validated
769,9253,1,drug_anchor_not_uniquely_validated
769,10266,1,drug_anchor_not_uniquely_validated
770,9253,1,drug_anchor_not_uniquely_validated
770,10266,1,drug_anchor_not_uniquely_validated
771,9253,1,drug_anchor_not_uniquely_validated
771,10266,1,drug_anchor_not_uniquely_validated
772,9253,1,drug_anchor_not_uniquely_validated
772,10266,1,drug_anchor_not_uniquely_validated
777,10266,1,drug_anchor_not_uniquely_validated
781,3477,1,drug_anchor_not_uniquely_validated
781,10266,1,drug_anchor_not_uniquely_validated
784,29839,1,drug_anchor_not_uniquely_validated
786,3477,1,drug_anchor_not_uniquely_validated
789,3729,7,drug_anchor_not_uniquely_validated
790,3729,1,drug_anchor_not_uniquely_validated
790,9253,1,drug_anchor_not_uniquely_validated
791,3729,1,drug_anchor_not_uniquely_validated
791,3729,7,drug_anchor_not_uniquely_validated
793,3729,1,drug_anchor_not_uniquely_validated
794,3729,1,drug_anchor_not_uniquely_validated
795,3729,1,drug_anchor_not_uniquely_validated
796,3729,1,drug_anchor_not_uniquely_validated
797,3729,1,drug_anchor_not_uniquely_validated
798,3729,1,drug_anchor_not_uniquely_validated
